RM,LSTAT,PTRATIO,MEDV
5.914,18.33,18.4,28.4
5.782,15.94,18.4,33.4
6.382,10.36,18.4,28.2
6.113,12.73,18.4,22.8
6.426,7.2,19.6,20.3
6.376,6.87,19.6,16.1
6.041,7.7,19.6,22.1
5.708,11.74,19.6,19.4
6.415,6.12,19.6,21.6
6.431,5.08,19.6,23.8
6.312,6.15,19.6,16.2
6.083,12.79,19.6,17.8
5.868,9.97,16.9,19.8
6.333,7.34,16.9,23.1
6.144,9.09,16.9,21
5.706,12.43,16.9,23.8
6.031,7.83,16.9,23.1
6.316,5.68,20.2,20.4
6.31,6.75,20.2,18.5
6.037,8.01,20.2,25
5.869,9.8,20.2,24.6
5.895,10.56,20.2,23
6.059,8.51,20.2,22.2
5.985,9.74,20.2,19.3
5.968,9.29,20.2,22.6
7.241,5.49,15.5,19.8
6.54,8.65,15.9,17.1
6.696,7.18,17.6,19.4
6.874,4.61,17.6,22.2
6.014,10.53,18.8,20.7
5.898,12.67,18.8,21.1
6.516,6.36,17.9,19.5
6.635,5.99,17,18.5
6.939,5.89,19.7,20.6
6.49,5.98,19.7,19
6.579,5.49,18.3,18.7
5.884,7.79,18.3,32.7
6.728,4.5,17,16.5
5.663,8.05,22,23.9
5.936,5.57,22,31.2
6.212,17.6,20.2,17.5
6.395,13.27,20.2,17.2
6.127,11.48,20.2,23.1
6.112,12.67,20.2,24.5
6.398,7.79,20.2,26.6
6.251,14.19,20.2,22.9
5.362,10.19,20.2,24.1
5.803,14.64,20.2,18.6
3.561,7.12,20.2,30.1
4.963,14,20.2,18.2
3.863,13.33,20.2,20.6
4.906,34.77,20.2,17.8
4.138,37.97,20.2,21.7
7.313,13.44,20.2,22.7
6.649,23.24,20.2,22.6
6.794,21.24,20.2,25
6.38,23.69,20.2,19.9
6.223,21.78,20.2,20.8
6.968,17.21,20.2,16.8
6.545,21.08,20.2,21.9
5.536,23.6,20.2,27.5
5.52,24.56,20.2,21.9
4.368,30.63,20.2,50
5.277,30.81,20.2,50
4.652,28.28,20.2,50
5,31.99,20.2,50
4.88,30.62,20.2,50
5.39,20.85,20.2,13.3
5.713,17.11,20.2,11.3
6.051,18.76,20.2,12.3
5.036,25.68,20.2,11.5
6.193,15.17,20.2,15.1
5.887,16.35,20.2,23.2
6.471,17.12,20.2,13.8
6.405,19.37,20.2,13.1
5.747,19.92,20.2,12.5
5.453,30.59,20.2,8.5
5.852,29.97,20.2,6.3
5.987,26.77,20.2,12.1
6.343,20.32,20.2,17.2
6.404,20.31,20.2,14.2
5.349,19.77,20.2,13.4
5.531,27.38,20.2,11.7
5.683,22.98,20.2,11
4.138,23.34,20.2,9.5
5.608,12.13,20.2,14.5
5.617,26.4,20.2,16.1
6.852,19.78,20.2,14.3
5.757,10.11,20.2,12.8
6.657,21.22,20.2,17.1
4.628,34.37,20.2,18.4
5.155,20.08,20.2,15.4
4.519,36.98,20.2,14.9
6.434,29.05,20.2,12.6
6.782,25.79,20.2,14.1
5.304,26.64,20.2,13
5.957,20.62,20.2,13.4
6.824,22.74,20.2,15.2
6.411,15.02,20.2,16.1
6.006,15.7,20.2,17.8
5.648,14.1,20.2,14.9
6.103,23.29,20.2,14.1
5.565,17.16,20.2,12.7
5.896,24.39,20.2,13.5
5.837,15.69,20.2,14.9
6.202,14.52,20.2,20
6.193,21.52,20.2,16.4
6.38,24.08,20.2,17.7
6.348,17.64,20.2,19.5
6.833,19.69,20.2,20.2
6.425,12.03,20.2,21.4
6.436,16.22,20.2,19.9
6.208,15.17,20.2,19
6.629,23.27,20.2,19.1
6.461,18.05,20.2,19.9
6.152,26.45,20.2,19.6
5.935,34.02,20.2,23.2
5.627,22.88,20.2,29.8
5.818,22.11,20.2,13.8
6.406,19.52,20.2,13.3
6.219,16.59,20.2,16.7
6.485,18.85,20.2,23
5.854,23.79,20.2,23.7
6.459,23.98,20.2,25
6.341,17.79,20.2,21.8
6.251,16.44,20.2,20.6
6.185,18.13,20.2,21.2
6.417,19.31,20.2,19.1
6.749,17.44,20.2,20.6
6.655,17.73,20.2,15.2
6.297,17.27,20.2,7
7.393,16.74,20.2,8.1
6.728,18.71,20.2,13.6
6.525,18.13,20.2,20.1
5.976,19.01,20.2,21.8
5.936,16.94,20.2,24.5
6.301,16.23,20.2,23.1
6.081,14.7,20.2,19.7
6.701,16.42,20.2,18.3
6.376,14.65,20.2,21.2
6.317,13.99,20.2,17.5
6.513,10.29,20.2,16.8
6.209,13.22,20.2,22.4
5.759,14.13,20.2,20.6
5.952,17.15,20.2,23.9
6.003,21.32,20.2,22
5.926,18.13,20.2,11.9
